"Date","Région","Plage de puissance injection","Filière de production","Nombre points injection"
"2025-10-02","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-10-02","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",19
"2025-10-02","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-10-02","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-29","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",476
"2025-06-29","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-06-29","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-09-29","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",177
"2025-09-29","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",95222
"2025-09-29","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-09-29","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-09-29","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-09-29","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-09-29","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",296
"2025-09-29","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",14
"2025-09-29","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",132
"2025-09-29","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",27
